"saying",1,"say"
"seemed",1,"seem"
"seems",1,"seem"
"seriousness",1,"serious"
"sets",1,"set"
"shines",1,"shine"
"shining",2,"shin"
"shockingly",1,"shocking"
"shoes",1,"shoe"
"slandered",1,"slander"
"slayer",1,"slay"
"slightly",1,"slight"
"sloshed",1,"slosh"
"solved",1,"solve"
"standards",1,"standard"
"steals",1,"steal"
"struggling",2,"struggle"
"sums",1,"sum"
"super",3,"sup"
"superheros",1,"superhero"
"surprised",1,"surprise"
"surprising",1,"surprise"
"surprisingly",1,"surprising"
"suspension",1,"suspense"
"takes",1,"take"
"teaser",1,"tease"
"tension",1,"tense"
"thanks",1,"thank"
"that's",3,"that"
"thing",6,"the"
"things",1,"the"
"thousands",2,"thousand"
"tightly",1,"tight"
"times",1,"time"
"timing",1,"time"
"trailers",1,"trail"
"transformers",1,"transform"
"tried",1,"try"
"trying",3,"try"
"twists",1,"twist"
"unbelievably",1,"believably"
"unconvincing",1,"convincing"
"unrealistic",2,"realistic"
"used",4,"use"
"viewer",1,"view"
"villain's",1,"villain"
"waiting",1,"wait"
"waking",1,"wake"
"wanted",1,"want"
"wasted",1,"waste"
"watched",3,"watch"
"watching",2,"watch"
"whats",1,"what"
"words",1,"word"
"writer",1,"writ"
"writers",1,"writ"
